,regime,Bull,Bear,Crisis
2012-01-04,Bear,1.8366570354472005e-19,0.9999894103699718,1.058963010394521e-05
2012-01-05,Bear,1.8366570354472005e-19,0.9999894103699718,1.058963010394521e-05
2012-01-06,Bear,1.8366570354472005e-19,0.9999894103699718,1.058963010394521e-05
2012-01-09,Bear,1.8366570354472005e-19,0.9999894103699718,1.058963010394521e-05
2012-01-10,Bear,1.8366570354472005e-19,0.9999894103699718,1.058963010394521e-05
2012-01-11,Bear,1.8366570354472005e-19,0.9999894103699718,1.058963010394521e-05
2012-01-12,Bear,6.755209040586756e-21,0.9999999923320502,7.668052690691963e-09
2012-01-13,Bear,6.755209040586756e-21,0.9999999923320502,7.668052690691963e-09
2012-01-16,Bear,6.755209040586756e-21,0.9999999923320502,7.668052690691963e-09
2012-01-17,Bear,6.755209040586756e-21,0.9999999923320502,7.668052690691963e-09
2012-01-18,Bear,6.755209040586756e-21,0.9999999923320502,7.668052690691963e-09
2012-01-19,Bear,6.755209040586756e-21,0.9999999923320502,7.668052690691963e-09
2012-01-20,Bear,6.755209040586756e-21,0.9999999923320502,7.668052690691963e-09
2012-01-23,Bear,6.755209040586756e-21,0.9999999923320502,7.668052690691963e-09
2012-01-24,Bear,6.755209040586756e-21,0.9999999923320502,7.668052690691963e-09
2012-01-25,Bear,6.755209040586756e-21,0.9999999923320502,7.668052690691963e-09
2012-01-27,Bear,6.755209040586756e-21,0.9999999923320502,7.668052690691963e-09
2012-01-30,Bear,6.755209040586756e-21,0.9999999923320502,7.668052690691963e-09
2012-01-31,Bear,6.755209040586756e-21,0.9999999923320502,7.668052690691963e-09
2012-02-01,Bear,6.755209040586756e-21,0.9999999923320502,7.668052690691963e-09
2012-02-02,Bear,6.755209040586756e-21,0.9999999923320502,7.668052690691963e-09
2012-02-03,Bear,6.755209040586756e-21,0.9999999923320502,7.668052690691963e-09
2012-02-06,Bear,6.755209040586756e-21,0.9999999923320502,7.668052690691963e-09
2012-02-07,Bear,6.755209040586756e-21,0.9999999923320502,7.668052690691963e-09
2012-02-08,Bear,6.755209040586756e-21,0.9999999923320502,7.668052690691963e-09
2012-02-09,Bear,6.755209040586756e-21,0.9999999923320502,7.668052690691963e-09
