date,Strategy,asset,weight
2012-01-19,RegimeShift,equity,1.6751063889118314e-08
2012-01-20,RegimeShift,equity,1.6964979701324765e-08
2012-01-23,RegimeShift,equity,1.6849388761550642e-08
2012-01-24,RegimeShift,equity,1.7194971811754564e-08
2012-01-25,RegimeShift,equity,1.733734550220964e-08
2012-01-27,RegimeShift,equity,1.7190235337133882e-08
2012-01-30,RegimeShift,equity,1.670754456111765e-08
2012-01-31,RegimeShift,equity,1.6988812673464578e-08
2012-02-01,RegimeShift,equity,1.7079279481249094e-08
2012-02-02,RegimeShift,equity,1.7248807513460056e-08
2012-02-03,RegimeShift,equity,1.7402193159183793e-08
2012-02-06,RegimeShift,equity,1.777874122626942e-08
2012-02-07,RegimeShift,equity,1.7657669544262687e-08
2012-02-08,RegimeShift,equity,1.7576657987529924e-08
2012-02-09,RegimeShift,equity,1.776125644519209e-08
2012-02-10,RegimeShift,equity,1.7703117351881614e-08
2012-02-13,RegimeShift,equity,0.12672429826816148
2012-02-14,RegimeShift,equity,0.12756384279897678
2012-02-15,RegimeShift,equity,0.12923560383234675
2012-02-16,RegimeShift,equity,0.12911854894220998
2012-02-17,RegimeShift,equity,0.12996656035744208
2012-02-21,RegimeShift,equity,0.130474087949755
2012-02-22,RegimeShift,equity,0.12734783221292453
2012-02-23,RegimeShift,equity,0.12566672114078492
2012-02-24,RegimeShift,equity,0.12483140673021081
2012-02-27,RegimeShift,equity,0.12262876014427881
2012-02-28,RegimeShift,equity,0.12381314196541371
2012-02-29,RegimeShift,equity,0.12367537738658378
2012-03-01,RegimeShift,equity,0.12616419637248333
2012-03-02,RegimeShift,equity,0.12655551659259245
2012-03-05,RegimeShift,equity,0.12502088164181685
2012-03-06,RegimeShift,equity,0.12410334198450677
2012-03-07,RegimeShift,equity,0.12319020606249209
2012-03-09,RegimeShift,equity,0.12561319718257088
2012-03-12,RegimeShift,equity,0.12595607478909532
2012-03-13,RegimeShift,equity,0.12821868487751525
2012-03-14,RegimeShift,equity,0.13081607338225437
2012-03-15,RegimeShift,equity,0.4500000001719864
2012-03-16,RegimeShift,equity,0.4466202336004292
2012-03-19,RegimeShift,equity,0.44077755329736024
2012-03-20,RegimeShift,equity,0.4417472287929525
2012-03-21,RegimeShift,equity,0.444197839387015
2012-03-22,RegimeShift,equity,0.4388292651022165
2012-03-23,RegimeShift,equity,0.4397298515422463
2012-03-26,RegimeShift,equity,0.43345904974267724
2012-03-27,RegimeShift,equity,0.43403279999486355
2012-03-28,RegimeShift,equity,0.4333292699572655
2012-03-29,RegimeShift,equity,0.4339166285374748
2012-03-30,RegimeShift,equity,0.4388883535331281
2012-04-02,RegimeShift,equity,0.4393694497363688
2012-04-03,RegimeShift,equity,0.4419614120245698
2012-04-04,RegimeShift,equity,0.44282254091938633
2012-04-09,RegimeShift,equity,0.43888996107191225
2012-04-10,RegimeShift,equity,0.4375765814839009
2012-04-11,RegimeShift,equity,0.43483996250577145
2012-04-12,RegimeShift,equity,0.43735782062664225
2012-04-13,RegimeShift,equity,0.4328101949126919
2012-04-16,RegimeShift,equity,0.435029855349719
2012-04-17,RegimeShift,equity,0.4500000018603625
2012-04-18,RegimeShift,equity,0.45134374382443165
2012-04-19,RegimeShift,equity,0.4521369574333079
2012-04-20,RegimeShift,equity,0.450079304983238
2012-04-23,RegimeShift,equity,0.4459082617488353
2012-04-24,RegimeShift,equity,0.44472964513165547
2012-04-25,RegimeShift,equity,0.4444017780728574
2012-04-26,RegimeShift,equity,0.4429136893162147
2012-04-27,RegimeShift,equity,0.4421422012082481
2012-04-30,RegimeShift,equity,0.44456818064333453
2012-05-02,RegimeShift,equity,0.4437024525781296
2012-05-03,RegimeShift,equity,0.44134209875368274
2012-05-04,RegimeShift,equity,0.4363775158394653
2012-05-07,RegimeShift,equity,0.43877732209162346
2012-05-08,RegimeShift,equity,0.4348307772554425
2012-05-09,RegimeShift,equity,0.43574604328108063
2012-05-10,RegimeShift,equity,0.4352204341752273
2012-05-11,RegimeShift,equity,0.433420085894559
2012-05-14,RegimeShift,equity,0.43385592889162483
2012-05-15,RegimeShift,equity,0.43563252566067273
2012-05-16,RegimeShift,equity,0.43262300020833516
2012-05-17,RegimeShift,equity,4.82775789915995e-08
2012-05-18,RegimeShift,equity,4.720278356446032e-08
2012-05-21,RegimeShift,equity,4.728361226912018e-08
2012-05-22,RegimeShift,equity,4.7182329961090494e-08
2012-05-23,RegimeShift,equity,4.673935119619964e-08
2012-05-24,RegimeShift,equity,4.7254807625779825e-08
2013-01-31,RegimeShift,equity,4.705812452343432e-08
2013-02-01,RegimeShift,equity,4.694393274983736e-08
2013-02-04,RegimeShift,equity,4.7104310930025986e-08
2013-02-05,RegimeShift,equity,4.636729476933628e-08
2013-02-06,RegimeShift,equity,4.6690438946540516e-08
2013-02-07,RegimeShift,equity,4.6373173399301813e-08
2013-02-08,RegimeShift,equity,4.60180628485742e-08
2013-02-11,RegimeShift,equity,4.6035901439864296e-08
2013-02-12,RegimeShift,equity,4.650660984371634e-08
2013-02-13,RegimeShift,equity,4.652739874440392e-08
2013-02-14,RegimeShift,equity,4.6316589679145473e-08
2013-02-15,RegimeShift,equity,4.648023703643007e-08
2013-02-18,RegimeShift,equity,4.6803432124814094e-08
2013-02-19,RegimeShift,equity,4.708457933484554e-08
2013-02-20,RegimeShift,equity,4.752118035881823e-08
2013-02-21,RegimeShift,equity,2.1233957272260632e-08
2013-02-22,RegimeShift,equity,2.110085446867202e-08
2013-02-25,RegimeShift,equity,2.110633636521718e-08
2013-02-26,RegimeShift,equity,2.071740236327199e-08
2013-02-27,RegimeShift,equity,2.0802822764876727e-08
2013-02-28,RegimeShift,equity,2.0598199937937834e-08
2013-03-01,RegimeShift,equity,2.0697913270668816e-08
2013-03-04,RegimeShift,equity,2.0411538739327807e-08
2013-03-05,RegimeShift,equity,2.077105285097099e-08
2013-03-06,RegimeShift,equity,2.0980705939625937e-08
2013-03-07,RegimeShift,equity,2.1067975056737088e-08
2013-03-08,RegimeShift,equity,2.1493823060772464e-08
2013-03-11,RegimeShift,equity,2.1510579576116958e-08
2013-03-12,RegimeShift,equity,2.1345691332200276e-08
2013-03-13,RegimeShift,equity,2.109573066821842e-08
2013-03-14,RegimeShift,equity,2.1272095900601138e-08
2013-03-15,RegimeShift,equity,2.114172632233446e-08
2013-03-18,RegimeShift,equity,2.0919093223813117e-08
2013-03-19,RegimeShift,equity,2.0578521057914106e-08
2013-03-20,RegimeShift,equity,2.027694959651606e-08
2013-03-21,RegimeShift,equity,2.0203285566465672e-08
2013-03-22,RegimeShift,equity,1.1950332553354474e-08
2013-03-25,RegimeShift,equity,1.2004331901615152e-08
2013-03-26,RegimeShift,equity,1.202020270076998e-08
2013-03-28,RegimeShift,equity,1.2047500233222532e-08
2013-04-01,RegimeShift,equity,1.2089397131407074e-08
2013-04-02,RegimeShift,equity,1.2218401391487547e-08
2013-04-03,RegimeShift,equity,1.2216288286250934e-08
2013-04-04,RegimeShift,equity,1.2096106678684284e-08
2013-04-05,RegimeShift,equity,1.1969194026287532e-08
2013-04-08,RegimeShift,equity,1.1835332145894553e-08
2013-04-09,RegimeShift,equity,1.1801434137956993e-08
2013-04-10,RegimeShift,equity,1.1876075330354093e-08
2013-04-11,RegimeShift,equity,1.2098006135553684e-08
