date,Strategy,turnover
2013-09-12,RegimeShift,0.0
2013-09-13,RegimeShift,0.0
2013-09-16,RegimeShift,0.0
2013-09-17,RegimeShift,0.0
2013-09-18,RegimeShift,0.0
2013-09-19,RegimeShift,0.0
2013-09-20,RegimeShift,0.0
2013-09-23,RegimeShift,0.0
2013-09-24,RegimeShift,0.0
2013-09-25,RegimeShift,0.0
2013-09-26,RegimeShift,0.024582279091007134
2013-09-27,RegimeShift,0.0
2013-09-30,RegimeShift,0.0
2013-10-01,RegimeShift,0.0
2013-10-03,RegimeShift,0.0
2013-10-04,RegimeShift,0.0
2013-10-07,RegimeShift,0.0
2013-10-08,RegimeShift,0.0
2013-10-09,RegimeShift,0.0
2013-10-10,RegimeShift,0.0
2013-10-11,RegimeShift,0.0
2013-10-14,RegimeShift,0.0
2013-10-15,RegimeShift,0.0
2013-10-17,RegimeShift,0.0
2013-10-18,RegimeShift,0.0
2013-10-21,RegimeShift,0.0
2013-10-22,RegimeShift,0.0
2013-10-23,RegimeShift,0.0
2013-10-24,RegimeShift,0.0
2013-10-25,RegimeShift,0.0
2013-10-28,RegimeShift,0.0
2013-10-29,RegimeShift,0.007512413234211337
2013-10-30,RegimeShift,0.0
2013-10-31,RegimeShift,0.0
2013-11-01,RegimeShift,0.0
2013-11-05,RegimeShift,0.0
2013-11-06,RegimeShift,0.0
2013-11-07,RegimeShift,0.0
2013-11-08,RegimeShift,0.0
2013-11-11,RegimeShift,0.0
2013-11-12,RegimeShift,0.0
2013-11-13,RegimeShift,0.0
2013-11-14,RegimeShift,0.0
2013-11-18,RegimeShift,0.0
2013-11-19,RegimeShift,0.0
2013-11-20,RegimeShift,0.0
2013-11-21,RegimeShift,0.0
2013-11-22,RegimeShift,0.0
2013-11-25,RegimeShift,0.0
2013-11-26,RegimeShift,0.0
2013-11-27,RegimeShift,0.0
2013-11-28,RegimeShift,0.0
2013-11-29,RegimeShift,0.5206838285287309
2013-12-02,RegimeShift,0.0
2013-12-03,RegimeShift,0.0
2013-12-04,RegimeShift,0.0
2013-12-05,RegimeShift,0.0
2013-12-06,RegimeShift,0.0
2013-12-09,RegimeShift,0.0
2013-12-10,RegimeShift,0.0
2013-12-11,RegimeShift,0.0
2013-12-12,RegimeShift,0.0
2013-12-13,RegimeShift,0.0
2013-12-16,RegimeShift,0.0
2013-12-17,RegimeShift,0.0
2013-12-18,RegimeShift,0.0
2013-12-19,RegimeShift,0.0
2013-12-20,RegimeShift,0.0
2013-12-23,RegimeShift,0.0
2013-12-24,RegimeShift,0.0
2013-12-26,RegimeShift,0.0
2013-12-27,RegimeShift,0.0
2013-12-30,RegimeShift,0.0
2013-12-31,RegimeShift,0.2471579297033178
2014-01-01,RegimeShift,0.0
2014-01-02,RegimeShift,0.0
2014-01-03,RegimeShift,0.0
2014-01-06,RegimeShift,0.0
2014-01-07,RegimeShift,0.0
2014-01-08,RegimeShift,0.0
2014-01-09,RegimeShift,0.0
2014-01-10,RegimeShift,0.0
2014-01-13,RegimeShift,0.0
2014-01-14,RegimeShift,0.0
2014-01-15,RegimeShift,0.0
2014-01-16,RegimeShift,0.0
2014-01-17,RegimeShift,0.0
2014-01-20,RegimeShift,0.0
2014-01-21,RegimeShift,0.0
2014-01-22,RegimeShift,0.0
2014-01-23,RegimeShift,0.0
2014-01-24,RegimeShift,0.0
2014-01-27,RegimeShift,0.0
2014-01-28,RegimeShift,0.0
2014-01-29,RegimeShift,0.008898896167883232
2014-01-30,RegimeShift,0.0
2014-01-31,RegimeShift,0.0
2014-02-03,RegimeShift,0.0
2014-02-04,RegimeShift,0.0
2014-02-05,RegimeShift,0.0
2014-02-06,RegimeShift,0.0
2014-02-07,RegimeShift,0.0
2014-02-10,RegimeShift,0.0
2014-02-11,RegimeShift,0.0
2014-02-12,RegimeShift,0.0
2014-02-13,RegimeShift,0.0
2014-02-14,RegimeShift,0.0
2014-02-17,RegimeShift,0.0
2014-02-18,RegimeShift,0.0
2014-02-19,RegimeShift,0.0
2014-02-20,RegimeShift,0.0
2014-02-21,RegimeShift,0.0
2014-02-24,RegimeShift,0.0
2014-02-25,RegimeShift,0.0
2014-02-26,RegimeShift,0.0
2014-02-28,RegimeShift,0.09084804277248629
2014-03-03,RegimeShift,0.0
2014-03-04,RegimeShift,0.0
2014-03-05,RegimeShift,0.0
2014-03-06,RegimeShift,0.0
2014-03-07,RegimeShift,0.0
2014-03-10,RegimeShift,0.0
2014-03-11,RegimeShift,0.0
2014-03-12,RegimeShift,0.0
2014-03-13,RegimeShift,0.0
2014-03-14,RegimeShift,0.0
2014-03-18,RegimeShift,0.0
2014-03-19,RegimeShift,0.0
2014-03-20,RegimeShift,0.0
2014-03-21,RegimeShift,0.0
2014-03-24,RegimeShift,0.0
2014-03-25,RegimeShift,0.0
2014-03-26,RegimeShift,0.0
2014-03-27,RegimeShift,0.0
2014-03-28,RegimeShift,0.0
2014-03-31,RegimeShift,0.0
2014-04-01,RegimeShift,0.24278576957637224
2014-04-02,RegimeShift,0.0
2014-04-03,RegimeShift,0.0
2014-04-04,RegimeShift,0.0
2014-04-07,RegimeShift,0.0
2014-04-09,RegimeShift,0.0
2014-04-10,RegimeShift,0.0
2014-04-11,RegimeShift,0.0
2014-04-15,RegimeShift,0.0
2014-04-16,RegimeShift,0.0
2014-04-17,RegimeShift,0.0
2014-04-21,RegimeShift,0.0
2014-04-22,RegimeShift,0.0
