date,posterior_maximum_probability,posterior_entropy
2024-04-16,0.9527887459059398,0.19022082566542126
2024-04-18,0.9527887459059398,0.19022082566542126
2024-04-19,0.9527887459059398,0.19022082566542126
2024-04-22,0.9527887459059398,0.19022082566542126
2024-04-23,0.9527887459059398,0.19022082566542126
2024-04-24,0.9527887459059398,0.19022082566542126
2024-04-25,0.9995053161040366,0.0042598933310181416
2024-04-26,0.9995053161040366,0.0042598933310181416
2024-04-29,0.9995053161040366,0.0042598933310181416
2024-04-30,0.9995053161040366,0.0042598933310181416
2024-05-02,0.9995053161040366,0.0042598933310181416
2024-05-03,0.9995053161040366,0.0042598933310181416
2024-05-06,0.9995053161040366,0.0042598933310181416
2024-05-07,0.9995053161040366,0.0042598933310181416
2024-05-08,0.9995053161040366,0.0042598933310181416
2024-05-09,0.9995053161040366,0.0042598933310181416
2024-05-10,0.9995053161040366,0.0042598933310181416
2024-05-13,0.9995053161040366,0.0042598933310181416
2024-05-14,0.9995053161040366,0.0042598933310181416
2024-05-15,0.9995053161040366,0.0042598933310181416
2024-05-16,0.9995053161040366,0.0042598933310181416
2024-05-17,0.9995053161040366,0.0042598933310181416
2024-05-21,0.9995053161040366,0.0042598933310181416
2024-05-22,0.9995053161040366,0.0042598933310181416
2024-05-23,0.9995053161040366,0.0042598933310181416
2024-05-24,0.9995053161040366,0.0042598933310181416
2024-05-27,0.9995053161040366,0.0042598933310181416
2024-05-28,0.9999707156464092,0.00033496747695769657
2024-05-29,0.9999707156464092,0.00033496747695769657
2024-05-30,0.9999707156464092,0.00033496747695769657
2024-05-31,0.9999707156464092,0.00033496747695769657
2024-06-03,0.9999707156464092,0.00033496747695769657
2024-06-04,0.9999707156464092,0.00033496747695769657
2024-06-05,0.9999707156464092,0.00033496747695769657
2024-06-06,0.9999707156464092,0.00033496747695769657
2024-06-07,0.9999707156464092,0.00033496747695769657
2024-06-10,0.9999707156464092,0.00033496747695769657
2024-06-11,0.9999707156464092,0.00033496747695769657
2024-06-12,0.9999707156464092,0.00033496747695769657
2024-06-13,0.9999707156464092,0.00033496747695769657
2024-06-14,0.9999707156464092,0.00033496747695769657
2024-06-18,0.9999707156464092,0.00033496747695769657
2024-06-19,0.9999707156464092,0.00033496747695769657
2024-06-20,0.9999707156464092,0.00033496747695769657
2024-06-21,0.9999707156464092,0.00033496747695769657
2024-06-24,0.9999707156464092,0.00033496747695769657
2024-06-25,0.9999707156464092,0.00033496747695769657
2024-06-26,0.9999707156464092,0.00033496747695769657
2024-06-27,1.0,5.526204223185709e-11
2024-06-28,1.0,5.526204223185709e-11
2024-07-01,1.0,5.526204223185709e-11
2024-07-02,1.0,5.526204223185709e-11
2024-07-03,1.0,5.526204223185709e-11
2024-07-04,1.0,5.526204223185709e-11
2024-07-05,1.0,5.526204223185709e-11
2024-07-08,1.0,5.526204223185709e-11
2024-07-09,1.0,5.526204223185709e-11
2024-07-10,1.0,5.526204223185709e-11
2024-07-11,1.0,5.526204223185709e-11
2024-07-12,1.0,5.526204223185709e-11
2024-07-15,1.0,5.526204223185709e-11
2024-07-16,1.0,5.526204223185709e-11
2024-07-18,1.0,5.526204223185709e-11
2024-07-19,1.0,5.526204223185709e-11
2024-07-22,1.0,5.526204223185709e-11
2024-07-23,1.0,5.526204223185709e-11
2024-07-24,1.0,5.526204223185709e-11
2024-07-25,1.0,5.526204223185709e-11
2024-07-26,1.0,5.526204223185709e-11
2024-07-29,0.999999604390574,6.228041535782625e-06
2024-07-30,0.999999604390574,6.228041535782625e-06
2024-07-31,0.999999604390574,6.228041535782625e-06
2024-08-01,0.999999604390574,6.228041535782625e-06
2024-08-02,0.999999604390574,6.228041535782625e-06
2024-08-05,0.999999604390574,6.228041535782625e-06
2024-08-06,0.999999604390574,6.228041535782625e-06
2024-08-07,0.999999604390574,6.228041535782625e-06
2024-08-08,0.999999604390574,6.228041535782625e-06
2024-08-09,0.999999604390574,6.228041535782625e-06
2024-08-12,0.999999604390574,6.228041535782625e-06
2024-08-13,0.999999604390574,6.228041535782625e-06
2024-08-14,0.999999604390574,6.228041535782625e-06
2024-08-16,0.999999604390574,6.228041535782625e-06
2024-08-19,0.999999604390574,6.228041535782625e-06
2024-08-20,0.999999604390574,6.228041535782625e-06
2024-08-21,0.999999604390574,6.228041535782625e-06
2024-08-22,0.999999604390574,6.228041535782625e-06
2024-08-23,0.999999604390574,6.228041535782625e-06
2024-08-26,0.999999604390574,6.228041535782625e-06
2024-08-27,0.999999604390574,6.228041535782625e-06
2024-08-28,0.999995868649997,5.5347328322595616e-05
2024-08-29,0.999995868649997,5.5347328322595616e-05
2024-08-30,0.999995868649997,5.5347328322595616e-05
2024-09-02,0.999995868649997,5.5347328322595616e-05
2024-09-03,0.999995868649997,5.5347328322595616e-05
2024-09-04,0.999995868649997,5.5347328322595616e-05
2024-09-05,0.999995868649997,5.5347328322595616e-05
