date,Bull,Bear,Crisis
2017-01-10,1.121270329692188e-19,0.9999999989938715,1.0061706043817139e-09
2017-01-11,1.121270329692188e-19,0.9999999989938715,1.0061706043817139e-09
2017-01-12,1.121270329692188e-19,0.9999999989938715,1.0061706043817139e-09
2017-01-13,1.121270329692188e-19,0.9999999989938715,1.0061706043817139e-09
2017-01-16,1.121270329692188e-19,0.9999999989938715,1.0061706043817139e-09
2017-01-17,1.121270329692188e-19,0.9999999989938715,1.0061706043817139e-09
2017-01-18,1.121270329692188e-19,0.9999999989938715,1.0061706043817139e-09
2017-01-19,1.121270329692188e-19,0.9999999989938715,1.0061706043817139e-09
2017-01-20,1.121270329692188e-19,0.9999999989938715,1.0061706043817139e-09
2017-01-23,1.121270329692188e-19,0.9999999989938715,1.0061706043817139e-09
2017-01-24,1.121270329692188e-19,0.9999999989938715,1.0061706043817139e-09
2017-01-25,1.121270329692188e-19,0.9999999989938715,1.0061706043817139e-09
2017-01-27,1.121270329692188e-19,0.9999999989938715,1.0061706043817139e-09
2017-01-30,1.121270329692188e-19,0.9999999989938715,1.0061706043817139e-09
2017-01-31,1.9777555405356065e-09,0.9999999980223038,8.796058839407902e-27
2017-02-01,1.9777555405356065e-09,0.9999999980223038,8.796058839407902e-27
2017-02-02,1.9777555405356065e-09,0.9999999980223038,8.796058839407902e-27
2017-02-03,1.9777555405356065e-09,0.9999999980223038,8.796058839407902e-27
2017-02-06,1.9777555405356065e-09,0.9999999980223038,8.796058839407902e-27
2017-02-07,1.9777555405356065e-09,0.9999999980223038,8.796058839407902e-27
2017-02-08,1.9777555405356065e-09,0.9999999980223038,8.796058839407902e-27
2017-02-09,1.9777555405356065e-09,0.9999999980223038,8.796058839407902e-27
2017-02-10,1.9777555405356065e-09,0.9999999980223038,8.796058839407902e-27
